Ticker,MMBuy,MMSell,AI1-Average,AI1-Previous,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-Previous,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-Previous,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-Previous,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC21-Previous,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-Previous,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
MG,,,138.35,139,1940,139,78411,410,102,66462,95,95,330,95,126913,5045,91.1,101291,90,90,4400,90,24400,,,0,118,118,1180,118,316427,100,91.1,113553,100,100,3024,100,5347,1000,50,1000,100,100,858,125,36163,980,97.5,10420
MGC,,,33000,33000,5,33000,25,1,3300,1,13800,13800,2,13900,107,,,0,8511.92,,105,17000,110,,,0,5000,5000,48,5000,259,,,0,20000,20000,26,20000,26,,,0,10347.47,14000,6,14000,54,,,0
MGS,41,,246,246,19,246,11550,936,245,10594,275,275,612,275,6223,422,212,1839,170,170,7500,200,10000,,,0,182.25,180,579,305,30346,84,180,8184,214.8,220,823,220,1384,,,0,216,216,1738,330,1869,389,216,5328
MHL,,,6335.96,7390,150,7390,3737,183,5200,2183,5890,5890,365,5890,1879,272,5210,1472,2700,2700,136,7000,736,,,0,5545.7,5570,124,5570,6212,128,5210,2539,7000,7000,115,7000,115,,,0,6490,6490,159,6490,4627,16,4500,187
MHP,,,6993.17,7000,,,0,2,3000,1002,6800,6800,84,6800,184,,,0,4800,4800,,,0,,,0,4000,4000,24,8000,24,,,0,2094.13,,10,5000,110,,,0,6900,6900,50,6900,50,15,3200,87
MLI,,,26613.69,26000,10,26900,387,2,26100,493,25286.22,26000,9,26000,85,39,17000,39,10232.26,,,,0,,,0,27627.99,27000,41,28000,41,8,27000,216,10232.26,,,,0,,,0,30000,30000,,,0,43,22300,72
MPC,,,2100,2100,959,2100,9216,73,1500,73,2500,2500,495,2500,8211,442,1700,1842,656.31,,,,0,,,0,2098.7,1900,190,2380,3869,856,1900,2471,400,400,10,2600,10,,,0,2936.4,2890,487,2890,4709,,,0
MSL,,,299000,299000,1,300000,16,1,260000,6,377698.06,380000,1,384000,2,1,360000,12,90378.24,,,,0,1,140000,1,360336.71,360000,1,300000,14,1,225000,3,90378.24,,,,0,,,0,344000,344000,1,344000,7,,,0
MTC,,,450,450,163,1980,219,1586,450,1588,4900,4900,208,4000,208,,,0,447.31,,,,0,,,0,1000,1000,200,1990,9416,2000,60,4000,447.31,,,,0,,,0,4000,4000,55,4000,55,,,0
MTP,,,1700,1700,1847,1700,28159,5,1510,5158,1502.79,1500,841,1700,4743,118,1500,204,3000,3000,,,0,,,0,1690,1690,2008,1690,29926,10,1440,2006,1023.48,,,,0,,,0,1900,1900,70,1900,5552,1000,1500,1000
