Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
BSC,,,50800,63,50800,1185,10,46000,182,46000,100,54000,760,,,0,14494.900390625,,,0,,,0,52000,191,52000,391,,,0,14494.900390625,1,52000,1,,,0,51042.6484375,55,54700,255,5,30000,5
BSE,425,1900,1900,100,1900,56100,2755,1890,11339,1900,100,1900,88986,14,1460,1248,2000,99,2000,99,3,1600,49,1900,100,1900,46116,9964,1000,10092,2038.510009765625,500,2000,2011,202,1000,202,1900,100,1900,75716,446,1890,4228
BSU,,,556074.875,,,0,,,0,850000,,,0,,,0,556074.875,,,0,,,0,556074.875,,,0,,,0,556074.875,,,0,,,0,556074.875,,,0,,,0
BTA,500,1800,1782.949951171875,100,1800,100,55,1720,2183,1800,100,1800,100,132,1650,643,1590,96,1590,296,200,1580,202,1770,1,1770,6013,21,1600,7657,1900,53,1900,672,10,1800,94,1790,100,1800,101,43,1790,792
BTS,,,900,4479,900,30235,1000,500,4239,1000,2813,1000,3013,1000,700,13190,100.3499984741211,,,0,,,0,665,57,665,19488,52,500,4341,529,,,0,,,0,500,132,500,6253,1000,400,1000
BWH,,,7980,28,7980,28,,,0,9000,19,9000,19,,,0,3005.0400390625,,,0,,,0,8000,1,8990,6,120,3320,193,3005.0400390625,,,0,,,0,7500,383,7500,1383,,,0
BWS,,,27800,6,27800,741,90,23000,405,35000,97,35000,97,60,24000,60,30000,,,0,5,22000,5,27060.7109375,11,30000,602,45,25000,308,8600.3701171875,1,23000,1,,,0,30000,60,30000,60,2,25800,34
C,225,,1177.31005859375,328,1180,120756,567,1100,31359,1090,222,1100,61003,176,1090,23574,1183.2099609375,175,1450,1757,17,1300,1081,1300,542,1300,67623,3456,1160,58189,1085.9200439453125,96,1090,4283,1145,800,1145,1056.780029296875,533,1120,53790,1257,1050,52182
CA,,,1222.780029296875,81,2000,81,290,300,290,985.5599975585938,4,3890,421,8,800,178,101,,,0,,,0,1000,15,1000,351,15,203,3245,991.3400268554688,15,1000,15,,,0,1400,51,1400,294,5,750,178
CAF,,,1885.8299560546875,36,1800,17413,24,1750,7500,1750,269,1750,23948,2000,1610,4578,1000,246,1700,1208,100,100,100,1980,174,1980,4622,2000,1550,8798,1550,237,1550,237,500,1000,500,2200,526,2200,4335,267,1950,4180
CAP,,,289,368,289,10355,1000,225,5586,317,528,317,4695,1035,290,2035,142.10000610351562,,,0,,,0,348,159,348,17599,121,280,12178,142.10000610351562,100,500,100,,,0,330,100,295,578,1000,101,1100
CBL,91000,,91843.2578125,8,93000,23,10,91200,226,91100,,,0,78,91100,178,91000,,,0,,,0,120000,4,98000,166,10,91300,292,92000,,,0,,,0,91100,10,95000,60,72,91100,172
CBM,63000,,64710,8,75000,38,8,64000,128,66801.6171875,12,69900,388,100,63000,100,29533.970703125,,,0,,,0,67013.359375,76,69900,182,8,63100,108,29533.970703125,5,69900,5,,,0,63100,1,69800,1,50,63100,150
CBS,42000,,42028.28125,289,42900,559,100,42000,100,43800,29,43800,396,100,42000,100,17919.900390625,2,49000,7,,,0,45000,65,45000,169,100,42000,100,17919.900390625,10,43000,10,,,0,42000,10,48900,60,2,42100,102
CBU,,,480000,,,0,10,410000,50,490000,1,699000,61,,,0,174192.875,,,0,,,0,650000,15,640000,169,10,410000,49,174192.875,,,0,,,0,500000,130,700000,130,10,410000,60
CC,650000,,650000,,,0,100,650000,100,650000,1,700000,1,100,650000,100,331160.125,,,0,,,0,650000,5,750000,5,100,650000,100,331160.125,,,0,,,0,650000,,,0,100,650000,100
CCD,80000,,80000,50,81000,300,100,80000,100,80000,3,84700,496,100,80000,100,27594.740234375,,,0,,,0,80082.328125,917,80300,1429,100,80000,100,27594.740234375,,,0,,,0,80000,28,84000,41,100,80000,100
CD,,,20000,107,23900,117,100,10000,100,25000,99,25000,99,10,20000,10,7893.7001953125,,,0,,,0,20000,5,20000,64,10,17000,10,7893.7001953125,10,13200,10,,,0,25000,,,0,,,0
CF,,,8710,15,10000,1306,100,8900,993,9040,1,10600,520,488,8500,1011,5000,26,9000,26,,,0,10500,8,10500,19,34,8900,1673,7850,,,0,,,0,9590.080078125,20,9900,90,5,8880,1156
CHA,,,98800,100,72000,392,5,35000,138,69000,1,69000,10,5,30000,5,21001.5,,,0,,,0,40000,1,66000,25,5,30000,5,21001.5,,,0,,,0,12500,5,120000,5,5,30000,5
CL,,,3930,150,3930,11842,1133,3750,2733,4340,18,4340,21073,673,3700,1973,4440,99,4600,509,180,2300,180,3910,100,4390,16139,244,3910,3916,8000,97,8000,97,100,4000,100,4690,272,4690,11458,191,4000,5103
CLI,51,,240,24800,240,75926,48,215,2654,446,3,445,4545,200,222,7110,170,180,250,180,246,170,2246,440,10,350,10833,186,250,14720,375,1500,300,1503,90,200,90,200,116,298,3064,100,201,6693
COF,,,1020,2497,1020,46563,30,970,22464,1100,290,1100,58827,15,1080,6385,1050,435,1050,635,,,0,970,2119,970,65052,30,943,12917,925,1479,925,5023,2998,750,3278,945,235,945,13323,627,891,28066
COM,,,135000,53,134000,181,5,123000,87,132000,6,132000,51,3,117000,78,250000,,,0,,,0,130000,42,130000,156,1,126000,108,116000,,,0,,,0,142000,11,142000,16,4,111000,9
COT,,,3700,426,3700,8450,30,3210,3230,3450,1,3700,7970,265,3450,265,3000,,,0,,,0,4000,23,4000,16876,20,3400,3040,6000,20,6000,20,,,0,3590,72,3550,4252,10,3110,1352
CPU,,,1426422.5,,,0,,,0,1426422.5,,,0,,,0,1426422.5,,,0,,,0,1426422.5,,,0,,,0,1426422.5,,,0,,,0,1426422.5,,,0,,,0
CQL,,,2260903.5,1,2280000,10,,,0,1600000,1,1680000,8,,,0,1000000,,,0,,,0,2050000,1,1990000,5,,,0,638520.4375,,,0,,,0,2100000,1,1990000,4,,,0
CQM,,,2200000,1,1890000,16,1,1000000,3,1730000,1,1740000,5,2,1450000,6,875000,,,0,,,0,1500000,1,1760000,2,1,663000,3,484121.625,,,0,,,0,1684794.375,1,1670000,5,,,0
CQS,,,1890000,2,1850000,7,1,860000,2,2000000,1,2100000,1,1,900000,4,800000,,,0,1,600000,1,1590000,1,1590000,3,1,950000,1,378967.375,,,0,,,0,1000000,1,1930000,2,1,1250000,2
CQT,,,408000,1,408000,7,,,0,499000,1,497000,2,1,150000,4,250000,,,0,,,0,500000,1,510000,1,1,102000,5,107765.7734375,,,0,,,0,492000,1,493000,2,,,0
CRU,200000,,200000,1,350000,3,100,200000,100,200000,1,298000,2,100,200000,100,139438.875,,,0,,,0,269000,7,260000,31,1,210000,101,139438.875,,,0,,,0,139438.875,,,0,100,200000,100
CST,,,2500,92,2500,93,1,56,1,1900,126,1900,251,4,100,4,2923.840087890625,,,0,,,0,1000,4,1000,112,,,0,2923.840087890625,,,0,,,0,2250,60,2240,147,,,0
CTF,,,28000,93,28000,958,10,24000,10,31800,94,31800,406,20,26000,305,16000,,,0,,,0,37700,30,37700,452,20,27800,749,20500,10,60000,10,,,0,34176.26171875,10,37900,95,30,27000,350
CU,,,1900,1000,1950,21880,447,1900,8226,1553.5,1743,2170,5103,5,1560,363,2250,672,2250,672,,,0,1900,184,1900,11652,,,0,3000,59,3000,59,50,1000,50,2080,99,2070,7284,100,1980,1749
CUO,63,,286.7799987792969,111,300,21883,100,187,6900,460,310,460,6322,20,311,2064,163.3300018310547,222,250,1468,,,0,250,7,295,35438,1476,250,6795,600,,,0,,,0,380,989,449,11736,169,236,859
DA,,,70000,15,70000,15,20,57500,87,57898.05078125,58,60000,78,3,48000,43,45000,,,0,,,0,65000,24,65000,24,4,52600,60,26164.140625,,,0,,,0,80000,35,80000,35,,,0
DCH,,,23119.58984375,27,23300,661,46,23000,131,23000,5,24400,45,,,0,8996.759765625,,,0,,,0,22000,1,24900,104,,,0,8996.759765625,,,0,,,0,25400,,,0,,,0
DCL,,,8467.5302734375,1,8450,3545,50,6000,50,8380,12,8380,316,50,5500,50,3482.6298828125,,,0,,,0,7673.7001953125,65,7990,1998,51,6790,423,3482.6298828125,10,6790,10,,,0,9946.669921875,4,9970,420,50,7000,231
DCM,,,5400,30,5400,4267,100,5200,6225,5900,699,5900,767,984,5000,3052,3500,,,0,,,0,5569.91015625,111,5560,5472,100,4700,2739,4900,,,0,,,0,5986.169921875,51,6400,371,5000,4500,5202
DCS,,,2240,12,2240,10462,1564,2000,4664,2440,170,2440,1418,367,2050,467,1500,,,0,,,0,2340,1,2340,6799,422,2200,4903,1840,,,0,,,0,2617.909912109375,191,2550,191,1000,1950,5086
DD,,,37000,50,38500,86,,,0,37514.69921875,21,37000,34,,,0,25000,,,0,,,0,25000,1,40000,6,,,0,26664.98046875,,,0,,,0,30000,2,40000,6,,,0
DDT,,,5720,162,5710,6358,10,5500,4219,5580,30,6180,3944,2,5570,5781,4000,,,0,10,4810,1060,5746,572,5750,7718,219,5060,9163,5946.8798828125,265,6000,265,,,0,5690,349,5690,3898,81,5670,985
DEC,,,34264.4609375,9,38900,1580,97,25100,485,31922.51953125,8,31900,112,100,25100,482,9363.1298828125,,,0,,,0,32204.01953125,1,32900,202,89,24200,585,9363.1298828125,44,40000,44,,,0,38000,2,38000,90,100,23000,601
DIS,,,12000,92,13000,184,8,12000,8,17000,1,16000,60,3,9000,8,9500,,,0,,,0,17000,58,39000,78,,,0,20000,4,20000,4,,,0,20000,24,20000,24,,,0
DOU,,,399000,4,399000,13,,,0,102013.5703125,,,0,,,0,102013.5703125,,,0,,,0,500000,54,500000,54,,,0,102013.5703125,,,0,,,0,275000,,,0,,,0
DRF,,,5600,32,6270,1810,267,5600,1767,15000,35,7440,40,100,5000,100,3015.909912109375,,,0,,,0,7250,16,7300,16,88,5800,388,3500,,,0,,,0,6200,5,6500,5,,,0
DV,,,13000,19,14900,100,81,13000,81,11848.9599609375,36,13000,86,,,0,15000,,,0,,,0,11900,2,11900,270,,,0,12324.5400390625,,,0,,,0,14400,4,14400,9,,,0
DW,19,121,121,100,121,54175,544,120,398657,120.31999969482422,100,121,100,50,118,345880,115.9000015258789,6673,120,8215,7000,106,9200,121,100,121,233247,870,120,335658,120,2266,120,24266,5000,110,18156,120,28155,120,231219,40377,119,498234
EBU,,,430000,29,430000,29,10,240000,10,240000,89,430000,91,17,240000,17,90558.96875,,,0,,,0,278000,100,430000,146,10,260000,20,90558.96875,,,0,,,0,300000,52,430000,52,13,260000,13
EDC,8000,,8020,4,9000,48,191,8020,1532,8000,205,8100,1238,100,8000,100,11000,,,0,,,0,8235.8603515625,174,9500,394,100,8000,100,8216.3603515625,,,0,,,0,8000,,,0,100,8000,100
EES,,,50000,48,59900,1089,10,550,10,56589.76171875,1,57700,234,20,54000,40,75000,5,65000,5,,,0,49600,16,60000,16,3,49600,3,48435.5,,,0,,,0,60000,10,50000,102,4,17500,4
ENG,,,866000,1,830000,67,,,0,810000,1,814000,19,,,0,367068.125,,,0,,,0,868000,1,868000,21,,,0,367068.125,,,0,,,0,900000,1,929000,22,,,0
EPO,,,215,7623,215,464805,19937,202,377619,202,5100,215,292312,1500,202,193488,225,4000,259,9000,500,100,500,239.13999938964844,33277,240,189503,9870,205,310950,200,3250,200,13550,5000,150,5000,206,14143,206,158438,4777,198,196402
ES,,,2100,587,2100,1725,38,2090,629,1990,245,1990,4475,4,1800,204,2000,30,2000,30,,,0,2729.919921875,99,2930,13460,410,2000,1275,1876.989990234375,20,1440,20,,,0,4380,68,4200,1923,22,2500,1093
ETC,,,39900,6,39700,347,40,20000,140,30000,1,30000,1,50,20000,70,15000,,,0,,,0,40000,14,40000,74,33,15900,273,10273.099609375,,,0,,,0,30000,71,30000,187,10,25000,10
EXO,,,415,6,415,15172,64,351,17225,475,2101,475,2470,20,350,8323,396.0799865722656,659,420,1369,40,310,40,389,469,389,18514,26,354,25231,300,40,300,2941,400,250,600,363,1863,363,19734,30,258,5547
F,,,1000,415,2900,1365,98,353,298,1000,,,0,,,0,1000,181,1000,181,,,0,1459.1800537109375,5636,2000,23115,4,762,10985,222.22000122070312,1000,2900,8594,,,0,2048.639892578125,89,1500,2521,20,508,620
FAL,,,2000,11,2030,6200,24,2000,2848,2773,1572,2800,6174,500,2050,2006,1026.6400146484375,,,0,,,0,2750,4,2750,4443,157,2500,5256,1026.6400146484375,10,2730,10,,,0,3700,500,3690,1399,1000,1500,1000
FAN,,,3119.4599609375,198,3290,1569,100,2400,2580,2850,4,2850,4,200,2210,1670,972.260009765625,,,0,,,0,3056.300048828125,18,3170,1647,193,2210,2041,1000,,,0,,,0,2772.090087890625,183,3100,183,199,2210,1202
FC,,,5850,8,6400,3118,125,5850,3334,7600,100,7500,1235,100,5900,1129,2253.139892578125,,,0,,,0,6178.16015625,20,6140,4911,100,5100,3227,2253.139892578125,,,0,,,0,9983.26953125,98,9990,147,20,4000,20
FE,,,1170,232,1170,35739,10,1020,10405,1075.469970703125,160,1080,20612,826,850,9107,850,1309,1200,1309,267,850,1315,930,32,940,26803,8,930,9594,856.0599975585938,112,900,1219,,,0,1075.9100341796875,290,1100,9027,2,861,5607
FEO,32,,153,499,153,90850,24,126,18368,97,14,125,57564,298,96,19681,120,1000,150,1000,2917,120,3870,80,56,105,81068,4693,80,42191,120,189,120,6580,73,80,73,110,550,149,18330,4954,110,20220
FET,,,3990,52,3990,8342,1000,2350,4368,3436.830078125,145,3500,5222,397,3400,1012,1760.800048828125,100,10000,100,,,0,3200,119,3200,10100,834,2400,1834,1760.800048828125,,,0,,,0,4300,1424,4000,5169,10,1250,18
FF,9,24,23.799999237060547,912,23.799999237060547,663250,3000,22.299999237060547,468785,22.360000610351562,2917,22.399999618530273,719713,1000,21.5,239829,23.5,61273,23.5,62054,95071,23,123998,23.899999618530273,2951,23.899999618530273,13105,4865,22.299999237060547,433882,23.5,10000,23.5,24000,1000,21,20056,23.899999618530273,3946,23.899999618530273,1150777,1350,21.399999618530273,975162
FFC,240000,,339000,1,339000,28,100,240000,100,332000,1,333000,5,100,240000,100,144217.296875,,,0,,,0,330000,8,330000,15,2,280000,103,144217.296875,,,0,,,0,416493.125,1,430000,1,2,300000,105
FIM,,,3764.429931640625,277,3770,19351,1000,2870,7312,3000,570,3000,9950,1000,2730,5600,4929.25,240,5500,240,100,3350,150,3600,72,3600,11398,96,2800,8673,2900,100,7000,100,100,3000,100,3100,150,3200,16588,500,2780,15446
FIR,,,1200000,1,1280000,3,2,950000,2,1100000,4,1250000,9,1,1100000,2,575129.1875,,,0,,,0,969000,1,1100000,16,2,870000,2,575129.1875,,,0,,,0,1050000,2,1350000,4,1,1050000,2
FLO,,,21100,254,29500,508,1,2110,1,28000,11,28000,61,,,0,10143.349609375,,,0,,,0,19200,10,19200,337,,,0,10143.349609375,,,0,,,0,3500,42,29000,135,,,0
