Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
LFE,,,275000,7,260000,123,3,225000,15,280000,23,280000,42,2,235000,13,75323.0703125,,,0,,,0,228333.328125,1,240000,59,5,200000,15,75323.0703125,,,0,,,0,230000,2,250000,35,1,168000,3
LFL,,,494498.75,14,493000,33,,,0,488000,3,488000,9,5,300000,16,156612.59375,,,0,,,0,300000,1,315000,10,1,260000,2,156612.59375,,,0,,,0,510000,1,517000,2,1,250000,1
LFP,,,8700,,,0,57,8700,57,8000,1,7900,169,,,0,7378.10986328125,,,0,,,0,15000,89,15000,139,9,7500,9,7378.10986328125,,,0,,,0,14500,38,14500,89,,,0
LHP,,,4230,874,4230,4305,100,3120,2847,4780,90,4780,2321,400,4010,1918,5500,200,4600,290,,,0,3514.68994140625,42,4690,8559,9,4110,2784,4200,17,4200,77,,,0,3920,226,3920,3959,100,3350,1261
LI,,,1700,36,1780,20573,4941,1700,21043,1800,3868,1800,19485,346,1600,456,1200,152,2100,152,,,0,1890,204,1880,10690,180,1500,4896,2190,,,0,50,1000,50,1900,372,1900,3842,150,1600,5784
LIO,,,364.6600036621094,217,364,77833,1000,311,8813,366.3800048828125,163,367,21045,1792,222,4392,200,1000,360,1526,,,0,320,1460,374,38346,1458,250,17884,330,,,0,69,100,69,464,3415,465,11374,688,400,6429
LIS,450000,,450100.5625,2,519000,8,100,450000,100,540049.4375,2,545000,21,4,451000,104,256217.671875,,,0,,,0,600000,1,525000,14,2,453000,181,256217.671875,,,0,,,0,600000,,,0,2,451000,102
LIT,,,30000,429,30000,430,188,24400,189,19000,,,0,,,0,13530.98046875,,,0,,,0,24000,18,29500,21,,,0,13530.98046875,,,0,,,0,18800,,,0,,,0
LOG,68000,,68148.328125,457,68200,570,100,68000,100,68000,85,68900,157,100,68000,107,65000,,,0,,,0,73500,15,74000,1055,100,68000,100,69700,,,0,,,0,75000,31,75000,31,100,68000,120
LSE,,,14800,79,14800,654,6,13500,1348,12100,22,12100,2215,8,12000,708,15000,100,14000,193,,,0,13982.01953125,24,14200,2511,239,11300,2815,13327.490234375,6,13000,106,50,7900,100,15000,36,15000,1079,250,12000,702
LSL,,,480000,1,450000,21,,,0,486000,1,486000,6,,,0,223532.015625,,,0,,,0,420000,1,420000,2,,,0,223532.015625,,,0,,,0,494000,1,460000,9,,,0
LST,34,,200.32000732421875,742,200,210020,8,165,49158,155,27,155,92688,800,125,104382,139,,,0,,,0,170,483,170,64530,30,160,45436,115,1636,150,15000,734,115,2068,159,1983,159,87016,10,146,73476
LTA,,,5400,425,5400,3457,2,4710,2441,4800,80,5140,5752,8,4500,255,5700,30,5500,450,280,4000,280,4870,68,4870,4248,82,4600,2457,4546.91015625,128,4700,256,67,3400,67,5100,12,5100,956,100,4200,880
LU,,,150000,5,150000,5,,,0,100000,6,130000,16,10,100000,10,62139.3515625,,,0,,,0,90100,4,140000,4,1,90100,40,62139.3515625,,,0,,,0,120000,3,120000,3,,,0
MAG,87,,87,47,499,6983,100,87,100,294.0199890136719,379,500,652,100,87,100,117.55000305175781,14,300,14,,,0,309,153,309,6394,281,170,2881,117.55000305175781,10,350,10,,,0,233,80,232,168,252,90,352
MAI,86,,500,101,500,11387,263,403,24582,479,454,479,5987,3000,455,28507,400,144,499,464,,,0,468,129,468,24838,186,422,50202,310,,,0,,,0,439,677,439,23153,7421,390,28234
MB,,,9200,60,9200,2556,75,8760,1483,9250,124,9250,314,200,9010,1531,8000,,,0,,,0,8870,475,8870,3640,5,8600,574,8400,,,0,,,0,9241.91015625,94,9500,610,7,8500,909
MCB,,,520000,1,530000,1,,,0,510000,1,520000,1,1,350000,1,174463.09375,,,0,,,0,450000,1,450000,3,,,0,174463.09375,,,0,,,0,517000,1,496000,3,,,0
MCG,12,39,39,100,39,90924,300,36.70000076293945,112577,38.77000045776367,237195,38.900001525878906,470671,200,34.20000076293945,165717,39,760,39,5760,5000,35,6400,34,443,37.900001525878906,280727,48434,34,398292,22.549999237060547,97600,24,420219,,,0,38.79999923706055,7269,38.79999923706055,82369,40,35,315092
MEA,,,5130,33,5130,10473,2000,4620,5880,5210,55,5640,2415,31,5210,1426,3800,20,7000,20,,,0,5940,155,5900,4979,192,5260,11824,5000,20,3900,36,,,0,5010,6,5480,1634,3000,5100,8464
MED,,,1650,1399,1650,48633,180,1270,7296,1490,297,1490,18785,168,1310,4152,1700,2145,1700,2596,3,1310,192,1540,2704,1540,39350,10,1500,9824,2600,60,1700,112,200,1300,321,1680,290,1680,17816,1524,1360,8979
MFE,,,154407.828125,81,155000,127,,,0,124000,6,124000,105,12,110000,12,43967.33984375,,,0,,,0,110000,1,130000,128,3,60000,3,43967.33984375,,,0,,,0,160000,34,160000,46,,,0
MFK,,,446,222,445,12670,20,300,116124,357,701,357,56938,372,260,109003,420,1000,395,2976,,,0,299,360,298,46251,600,289,117774,320,310,320,804,,,0,349,88,349,9286,3307,300,103600
MFL,,,190000,2,185000,30,1,124000,1,195000,1,198000,3,,,0,78679.640625,,,0,,,0,158000,3,159000,23,,,0,78679.640625,,,0,,,0,193502.234375,1,208000,7,1,125000,1
MG,,,118,1920,118,89325,2000,96.0999984741211,52000,115,8872,115,122567,4000,91.0999984741211,100813,90,4400,90,24400,,,0,120,20000,125,307135,120,92,112780,100,2512,100,4835,800,50,800,149,54,130,23759,250,98.0999984741211,10824
MGC,,,37083.328125,4,39000,16,1,3300,1,13800,2,13900,106,,,0,8511.919921875,105,17000,110,,,0,5000,29,5000,242,,,0,20000,26,20000,26,,,0,10347.4697265625,6,14000,54,,,0
MGS,41,,400,1,600,11308,50,246,11030,275,407,275,6018,198,212,1615,170,7500,200,10000,,,0,204,1156,200,39304,1106,160,17126,220,823,220,1384,,,0,300,857,300,2575,65,225,5747
MHL,,,5210,61,6730,5526,991,5210,3105,5600,231,5590,2922,208,5350,1580,2700,136,7000,736,,,0,5110,288,5800,6089,325,5110,2026,7000,115,7000,115,,,0,5980,18,5970,4720,1000,3450,1061
MHP,,,6993.169921875,1,10000,1,2,3000,1002,6685,73,6800,173,,,0,4800,,,0,,,0,4000,25,7000,49,,,0,2094.1298828125,10,5000,110,,,0,6900,50,6900,50,15,3200,87
MLI,,,27000,14,26900,301,236,26000,436,25919.220703125,17,25900,95,39,17000,39,10232.259765625,,,0,,,0,27000,27,27900,56,50,26000,208,10232.259765625,,,0,,,0,22300,,,0,37,22300,66
MPC,,,2000,767,2000,9977,900,1500,900,2034.800048828125,482,2480,8413,180,1700,1580,656.3099975585938,,,0,,,0,1990,308,1990,5587,247,1700,1467,400,10,2600,10,,,0,2500,37,2500,4701,,,0
MSL,,,318000,2,310000,20,1,260000,7,410000,,,0,1,225000,11,90378.2421875,,,0,1,140000,1,280000,3,280000,19,1,170000,2,90378.2421875,,,0,,,0,344000,1,344000,7,,,0
MTC,,,450,163,1980,220,1542,450,1542,50,158,4000,158,,,0,447.30999755859375,,,0,,,0,1000,200,1990,4546,2000,60,4000,447.30999755859375,,,0,,,0,4000,55,4000,55,,,0
MTP,,,1700,635,1700,29224,4,1520,5157,2000,309,2000,3726,86,1390,86,3000,,,0,,,0,1670,80,1670,28632,50,1500,2165,1023.47998046875,,,0,,,0,2200,355,2200,2187,20,1920,6169
MUS,,,330,3347,330,26782,8637,280,18189,366,164,364,3602,10000,300,22068,170.36000061035156,,,0,,,0,389,674,389,21031,592,253,16827,316,,,0,,,0,366.739990234375,30,367,14864,400,271,14720
MWF,,,266,600,323,14198,661,266,101688,293.0899963378906,175,300,3747,2000,111,102518,300,,,0,,,0,290,858,290,18526,1040,240,103040,187.11000061035156,100,410,100,,,0,451,162,451,8994,150,250,100650
N,33,,99,28579,99,379889,2000,95,70038,100,12366,100,265408,400,96,30192,150,5000,110,9600,1000,100,1500,89.9000015258789,11197,89.9000015258789,603117,2000,84.30000305175781,67086,150,1500,150,15140,300,120,1140,129,7587,129,165254,10000,81.0999984741211,250995
